time,speed,steeting,whlSpd1,whlSpd2,whlSpd3,whlSpd4,ts
-0.98,-0.0173564,0.267765,0,0,2.02329,-1.98938,2020-10-25 00:28:45.159725 +1000 +10 m=+0.020459283
-0.96,-0.0173564,0.267759,0,0,2.02329,-1.98938,2020-10-25 00:28:45.179725 +1000 +10 m=+0.040459283
-0.94,-0.0173564,0.267754,0,0,2.02329,-1.98938,2020-10-25 00:28:45.199725 +1000 +10 m=+0.060459283
-0.92,-0.0173564,0.267748,0,0,2.02329,-1.98938,2020-10-25 00:28:45.219725 +1000 +10 m=+0.080459283
-0.9,-0.0173564,0.267743,0,0,2.02329,-1.98938,2020-10-25 00:28:45.239725 +1000 +10 m=+0.100459283
-0.88,-0.0173564,0.267738,0,0,2.02329,-1.98938,2020-10-25 00:28:45.259725 +1000 +10 m=+0.120459283
-0.86,-0.0173564,0.267732,0,0,2.02329,-1.98938,2020-10-25 00:28:45.279725 +1000 +10 m=+0.140459283
-0.84,-0.0173564,0.267727,0,0,2.02329,-1.98938,2020-10-25 00:28:45.299725 +1000 +10 m=+0.160459283
-0.82,-0.0173564,0.267721,0,0,2.02329,-1.98938,2020-10-25 00:28:45.319725 +1000 +10 m=+0.180459283
-0.8,-0.0173564,0.267716,0,0,2.02329,-1.98938,2020-10-25 00:28:45.339725 +1000 +10 m=+0.200459283
-0.78,-0.0173564,0.26771,0,0,2.02329,-1.98938,2020-10-25 00:28:45.359725 +1000 +10 m=+0.220459283
-0.76,-0.0173564,0.267705,0,0,2.02329,-1.98938,2020-10-25 00:28:45.379725 +1000 +10 m=+0.240459283
-0.74,-0.0173564,0.267699,0,0,2.02329,-1.98938,2020-10-25 00:28:45.399725 +1000 +10 m=+0.260459283
-0.72,-0.0173564,0.267694,0,0,2.02329,-1.98938,2020-10-25 00:28:45.419725 +1000 +10 m=+0.280459283
-0.7,-0.0173564,0.267689,0,0,2.02329,-1.98938,2020-10-25 00:28:45.439725 +1000 +10 m=+0.300459283
-0.68,-0.0173564,0.267683,0,0,2.02329,-1.98938,2020-10-25 00:28:45.459725 +1000 +10 m=+0.320459283
-0.66,-0.0173564,0.267678,0,0,2.02329,-1.98938,2020-10-25 00:28:45.479725 +1000 +10 m=+0.340459283
-0.64,-0.0173564,0.267672,0,0,2.02329,-1.98938,2020-10-25 00:28:45.499725 +1000 +10 m=+0.360459283
-0.62,-0.0173564,0.267667,0,0,2.02329,-1.98938,2020-10-25 00:28:45.519725 +1000 +10 m=+0.380459283
-0.6,-0.0173564,0.267662,0,0,2.02329,-1.98938,2020-10-25 00:28:45.539725 +1000 +10 m=+0.400459283
-0.58,-0.0173564,0.267656,0,0,2.02329,-1.98938,2020-10-25 00:28:45.559725 +1000 +10 m=+0.420459283
-0.56,-0.0173564,0.267651,0,0,2.02329,-1.98938,2020-10-25 00:28:45.579725 +1000 +10 m=+0.440459283
-0.54,-0.0173564,0.267646,0,0,2.02329,-1.98938,2020-10-25 00:28:45.599725 +1000 +10 m=+0.460459283
-0.52,-0.0173564,0.26764,0,0,2.02329,-1.98938,2020-10-25 00:28:45.619725 +1000 +10 m=+0.480459283
-0.5,-0.0173564,0.267635,0,0,2.02329,-1.98938,2020-10-25 00:28:45.639725 +1000 +10 m=+0.500459283
-0.48,-0.0173564,0.267629,0,0,2.02329,-1.98938,2020-10-25 00:28:45.659725 +1000 +10 m=+0.520459283
-0.46,-0.0173564,0.267624,0,0,2.02329,-1.98938,2020-10-25 00:28:45.679725 +1000 +10 m=+0.540459283
-0.44,-0.0173564,0.267619,0,0,2.02329,-1.98938,2020-10-25 00:28:45.699725 +1000 +10 m=+0.560459283
-0.42,-0.0173564,0.267613,0,0,2.02329,-1.98938,2020-10-25 00:28:45.719725 +1000 +10 m=+0.580459283
-0.4,-0.0173564,0.267608,0,0,2.02329,-1.98938,2020-10-25 00:28:45.739725 +1000 +10 m=+0.600459283
-0.38,-0.0173564,0.267602,0,0,2.02329,-1.98938,2020-10-25 00:28:45.759725 +1000 +10 m=+0.620459283
-0.36,-0.0173564,0.267597,0,0,2.02329,-1.98938,2020-10-25 00:28:45.779725 +1000 +10 m=+0.640459283
-0.34,-0.0173564,0.267592,0,0,2.02329,-1.98938,2020-10-25 00:28:45.799725 +1000 +10 m=+0.660459283
-0.32,-0.0173564,0.267586,0,0,2.02329,-1.98938,2020-10-25 00:28:45.819725 +1000 +10 m=+0.680459283
-0.3,-0.0173564,0.267581,0,0,2.02329,-1.98938,2020-10-25 00:28:45.839725 +1000 +10 m=+0.700459283
-0.28,-0.0173564,0.267575,0,0,2.02329,-1.98938,2020-10-25 00:28:45.859725 +1000 +10 m=+0.720459283
-0.26,-0.0173564,0.26757,0,0,2.02329,-1.98938,2020-10-25 00:28:45.879725 +1000 +10 m=+0.740459283
-0.24,-0.0173564,0.267564,0,0,2.02329,-1.98938,2020-10-25 00:28:45.899725 +1000 +10 m=+0.760459283
-0.22,-0.0173564,0.267559,0,0,2.02329,-1.98938,2020-10-25 00:28:45.919725 +1000 +10 m=+0.780459283
-0.2,-0.0173564,0.267553,0,0,2.02329,-1.98938,2020-10-25 00:28:45.939725 +1000 +10 m=+0.800459283
-0.18,-0.0173564,0.267548,0,0,2.02329,-1.98938,2020-10-25 00:28:45.959725 +1000 +10 m=+0.820459283
-0.16,-0.0173564,0.267543,0,0,2.02329,-1.98938,2020-10-25 00:28:45.979725 +1000 +10 m=+0.840459283
-0.14,-0.0173564,0.267537,0,0,2.02329,-1.98938,2020-10-25 00:28:45.999725 +1000 +10 m=+0.860459283
-0.12,-0.0173564,0.267532,0,0,2.02329,-1.98938,2020-10-25 00:28:46.019725 +1000 +10 m=+0.880459283
-0.1,-0.0173564,0.267526,0,0,2.02329,-1.98938,2020-10-25 00:28:46.039725 +1000 +10 m=+0.900459283
-0.08,-0.0173564,0.267521,0,0,2.02329,-1.98938,2020-10-25 00:28:46.059725 +1000 +10 m=+0.920459283
-0.06,-0.0173564,0.267516,0,0,2.02329,-1.98938,2020-10-25 00:28:46.079725 +1000 +10 m=+0.940459283
-0.04,-0.0173564,0.26751,0,0,2.02329,-1.98938,2020-10-25 00:28:46.099725 +1000 +10 m=+0.960459283
-0.02,-0.0173564,0.267505,0,0,2.02329,-1.98938,2020-10-25 00:28:46.119725 +1000 +10 m=+0.980459283
0.02,-0.0110826,0.267558,-1.29522,-1.09331,-2.72448,2.86047,2020-10-25 00:28:46.139725 +1000 +10 m=+1.000459283
0.04,-0.0496411,0.267698,0.504707,0.666107,2.05394,-1.89819,2020-10-25 00:28:46.159725 +1000 +10 m=+1.020459283
0.06,0.160272,0.266899,-0.0795577,-1.20058,1.13785,1.13785,2020-10-25 00:28:46.179725 +1000 +10 m=+1.040459283
0.08,0.359496,0.26539,0.620703,0.439121,0.390991,0.37623,2020-10-25 00:28:46.199725 +1000 +10 m=+1.060459283
0.1,0.545212,0.263918,0.321794,1.34682,3.08683,3.08683,2020-10-25 00:28:46.219725 +1000 +10 m=+1.080459283
0.12,0.880838,0.261144,0.998846,0.290566,1.40933,1.40933,2020-10-25 00:28:46.239725 +1000 +10 m=+1.100459283
0.14,1.21061,0.25782,1.02543,1.50082,2.25267,2.25267,2020-10-25 00:28:46.259725 +1000 +10 m=+1.120459283
0.16,1.56012,0.253821,1.66337,1.22058,3.10826,3.10826,2020-10-25 00:28:46.279725 +1000 +10 m=+1.140459283
0.18,1.91769,0.249153,2.25777,1.81118,3.97734,3.97734,2020-10-25 00:28:46.299725 +1000 +10 m=+1.160459283
0.2,2.28507,0.243896,2.54713,2.36813,4.82745,4.82745,2020-10-25 00:28:46.319725 +1000 +10 m=+1.180459283
0.22,2.64975,0.238117,2.86182,2.79427,5.16871,5.16871,2020-10-25 00:28:46.339725 +1000 +10 m=+1.200459283
0.24,3.00879,0.231822,3.15322,3.1336,5.89036,5.89036,2020-10-25 00:28:46.359725 +1000 +10 m=+1.220459283
0.262,3.40245,0.224248,3.15847,3.13456,6.30764,6.30764,2020-10-25 00:28:46.379725 +1000 +10 m=+1.240459283
0.282,3.74676,0.216883,3.55129,3.39515,6.98538,6.98538,2020-10-25 00:28:46.399725 +1000 +10 m=+1.260459283
0.302,4.08214,0.209077,4.1718,3.75754,7.32953,7.32953,2020-10-25 00:28:46.419725 +1000 +10 m=+1.280459283
0.322,4.41008,0.200862,4.72545,4.33297,7.95188,7.95188,2020-10-25 00:28:46.439725 +1000 +10 m=+1.300459283
0.342,4.73499,0.192257,5.18163,4.88444,8.27202,8.27202,2020-10-25 00:28:46.459725 +1000 +10 m=+1.320459283
0.362,5.04032,0.183454,5.45111,5.26579,9.50258,9.50258,2020-10-25 00:28:46.479725 +1000 +10 m=+1.340459283
0.382,5.34272,0.174329,5.47057,5.45024,9.32328,9.32328,2020-10-25 00:28:46.499725 +1000 +10 m=+1.360459283
0.402,5.6428,0.164969,5.45547,5.46718,10.1884,10.1884,2020-10-25 00:28:46.519725 +1000 +10 m=+1.380459283
0.422,5.94024,0.155405,5.6392,5.50693,10.0091,10.0091,2020-10-25 00:28:46.539725 +1000 +10 m=+1.400459283
0.442,6.23475,0.14572,5.91951,5.72958,10.7264,10.7264,2020-10-25 00:28:46.559725 +1000 +10 m=+1.420459283
0.462,6.52866,0.13595,6.46927,6.09821,10.5873,10.5873,2020-10-25 00:28:46.579725 +1000 +10 m=+1.440459283
0.482,6.82286,0.126143,6.98437,6.63966,11.2115,11.2115,2020-10-25 00:28:46.599725 +1000 +10 m=+1.460459283
0.504,7.15103,0.11536,7.55033,7.32846,11.1363,11.1363,2020-10-25 00:28:46.619725 +1000 +10 m=+1.480459283
0.524,7.45629,0.10558,7.68635,7.5377,11.7841,11.7841,2020-10-25 00:28:46.639725 +1000 +10 m=+1.500459283
0.544,7.76305,0.0958992,7.83114,7.7107,11.7453,11.7453,2020-10-25 00:28:46.659725 +1000 +10 m=+1.520459283
0.564,8.06848,0.0863934,8.0224,7.91155,12.3553,12.3553,2020-10-25 00:28:46.679725 +1000 +10 m=+1.540459283
0.584,8.37293,0.0770825,8.28499,8.16632,12.3917,12.3917,2020-10-25 00:28:46.699725 +1000 +10 m=+1.560459283
0.604,8.6752,0.0680101,8.59923,8.46944,12.9688,12.9688,2020-10-25 00:28:46.719725 +1000 +10 m=+1.580459283
0.624,8.97634,0.05921,8.93849,8.79762,13.0662,13.0662,2020-10-25 00:28:46.739725 +1000 +10 m=+1.600459283
0.644,9.27576,0.0507256,9.27549,9.12813,13.6013,13.6013,2020-10-25 00:28:46.759725 +1000 +10 m=+1.620459283
0.664,9.57402,0.0425753,9.59826,9.45168,13.745,13.745,2020-10-25 00:28:46.779725 +1000 +10 m=+1.640459283
0.684,9.8705,0.0347945,9.90533,9.76544,14.2374,14.2374,2020-10-25 00:28:46.799725 +1000 +10 m=+1.660459283
0.704,10.1656,0.0274057,10.2023,10.0727,14.411,14.411,2020-10-25 00:28:46.819725 +1000 +10 m=+1.680459283
0.724,10.4588,0.0204368,10.4926,10.3749,14.8617,14.8617,2020-10-25 00:28:46.839725 +1000 +10 m=+1.700459283
0.744,10.7508,0.0139006,10.7794,10.6745,15.0496,15.0496,2020-10-25 00:28:46.859725 +1000 +10 m=+1.720459283
0.764,11.0412,0.00781693,11.0633,10.9721,15.4644,15.4644,2020-10-25 00:28:46.879725 +1000 +10 m=+1.740459283
0.784,11.3306,0.00219761,11.3455,11.2685,15.6588,15.6588,2020-10-25 00:28:46.899725 +1000 +10 m=+1.760459283
0.804,11.6189,-0.00320478,11.626,11.5639,16.0416,16.0416,2020-10-25 00:28:46.919725 +1000 +10 m=+1.780459283
0.824,11.9065,-0.00785622,11.9056,11.8587,16.243,16.243,2020-10-25 00:28:46.939725 +1000 +10 m=+1.800459283
0.844,12.1932,-0.0120199,12.1842,12.1525,16.6001,16.6001,2020-10-25 00:28:46.959725 +1000 +10 m=+1.820459283
0.864,12.4793,-0.0156929,12.4625,12.4458,16.8064,16.8064,2020-10-25 00:28:46.979725 +1000 +10 m=+1.840459283
0.884,12.7648,-0.0188886,12.7401,12.7381,17.1449,17.1449,2020-10-25 00:28:46.999725 +1000 +10 m=+1.860459283
0.904,13.0498,-0.021624,13.0176,13.0296,17.349,17.349,2020-10-25 00:28:47.019725 +1000 +10 m=+1.880459283
0.924,13.3341,-0.0239108,13.2948,13.3202,17.6709,17.6709,2020-10-25 00:28:47.039725 +1000 +10 m=+1.900459283
0.944,13.6179,-0.0257675,13.5717,13.6101,17.8843,17.8843,2020-10-25 00:28:47.059725 +1000 +10 m=+1.920459283
0.964,13.9014,-0.0272131,13.8207,13.8992,18.1922,18.1922,2020-10-25 00:28:47.079725 +1000 +10 m=+1.940459283
0.984,14.1877,-0.0285255,13.8217,14.1479,18.3955,18.3955,2020-10-25 00:28:47.099725 +1000 +10 m=+1.960459283
1.006,14.5008,-0.0300739,14.1323,14.3493,18.7044,18.7044,2020-10-25 00:28:47.119725 +1000 +10 m=+1.980459283
1.026,14.7817,-0.0315085,14.6703,14.7306,18.9235,18.9235,2020-10-25 00:28:47.139725 +1000 +10 m=+2.000459283
1.046,15.0654,-0.0327701,14.985,15.0453,19.2077,19.2077,2020-10-25 00:28:47.159725 +1000 +10 m=+2.020459283
1.066,15.3496,-0.0336755,15.2738,15.3456,19.4393,19.4393,2020-10-25 00:28:47.179725 +1000 +10 m=+2.040459283
1.086,15.6259,-0.0340891,15.5497,15.6352,19.0417,19.0417,2020-10-25 00:28:47.199725 +1000 +10 m=+2.060459283
1.106,15.9009,-0.0339941,15.8207,15.9201,18.3171,18.3134,2020-10-25 00:28:47.219725 +1000 +10 m=+2.080459283
1.126,16.1693,-0.0334343,16.087,16.198,17.9987,17.9884,2020-10-25 00:28:47.239725 +1000 +10 m=+2.100459283
1.146,16.4291,-0.0325289,16.3421,16.4594,18.7186,18.7055,2020-10-25 00:28:47.259725 +1000 +10 m=+2.120459283
1.166,16.6097,-0.0309167,16.5285,16.6593,19.5347,19.4451,2020-10-25 00:28:47.279725 +1000 +10 m=+2.140459283
1.186,16.7813,-0.0289754,16.6964,16.8347,19.7393,19.6974,2020-10-25 00:28:47.299725 +1000 +10 m=+2.160459283
1.206,16.9605,-0.026803,16.8727,17.0158,19.5554,19.5236,2020-10-25 00:28:47.319725 +1000 +10 m=+2.180459283
1.226,17.1491,-0.024558,17.0601,17.2034,19.3459,19.3209,2020-10-25 00:28:47.339725 +1000 +10 m=+2.200459283
1.246,17.3465,-0.0223946,17.2588,17.3971,19.1876,19.1685,2020-10-25 00:28:47.359725 +1000 +10 m=+2.220459283
1.266,17.5487,-0.0204855,17.4651,17.5935,19.0351,19.0267,2020-10-25 00:28:47.379725 +1000 +10 m=+2.240459283
1.286,17.5765,-0.0188487,17.5458,17.6503,17.6719,17.5495,2020-10-25 00:28:47.399725 +1000 +10 m=+2.260459283
1.306,17.569,-0.0178349,17.5322,17.616,18.0872,16.9875,2020-10-25 00:28:47.419725 +1000 +10 m=+2.280459283
1.326,17.5583,-0.0171922,17.5138,17.609,16.1293,19.018,2020-10-25 00:28:47.439725 +1000 +10 m=+2.300459283
1.346,17.5489,-0.0166098,17.5152,17.5843,18.177,16.9185,2020-10-25 00:28:47.459725 +1000 +10 m=+2.320459283
1.366,17.5392,-0.0160773,17.5113,17.5657,18.133,16.9308,2020-10-25 00:28:47.479725 +1000 +10 m=+2.340459283
1.386,17.5292,-0.0156783,17.4891,17.5729,16.26,18.8139,2020-10-25 00:28:47.499725 +1000 +10 m=+2.360459283
1.406,17.5199,-0.0152772,17.4873,17.5551,17.7603,17.2824,2020-10-25 00:28:47.519725 +1000 +10 m=+2.380459283
1.426,17.5106,-0.0148758,17.4899,17.5309,18.6209,16.394,2020-10-25 00:28:47.539725 +1000 +10 m=+2.400459283
1.446,17.501,-0.0145697,17.4676,17.5365,16.7244,18.2829,2020-10-25 00:28:47.559725 +1000 +10 m=+2.420459283
1.466,17.4918,-0.0142933,17.4571,17.5294,16.9964,17.9946,2020-10-25 00:28:47.579725 +1000 +10 m=+2.440459283
1.486,17.6714,-0.0139037,17.5924,17.6852,23.295,23.295,2020-10-25 00:28:47.599725 +1000 +10 m=+2.460459283
1.506,17.9126,-0.0136702,17.6856,17.9075,20.6147,20.6147,2020-10-25 00:28:47.619725 +1000 +10 m=+2.480459283
1.526,18.1647,-0.0137171,17.8904,18.0133,22.1655,22.1655,2020-10-25 00:28:47.639725 +1000 +10 m=+2.500459283
1.546,18.4313,-0.0141,18.1576,18.1721,20.9928,20.9928,2020-10-25 00:28:47.659725 +1000 +10 m=+2.520459283
1.566,18.7028,-0.0148059,18.3682,18.5151,21.8372,21.8372,2020-10-25 00:28:47.679725 +1000 +10 m=+2.540459283
1.586,18.9784,-0.0156797,18.8692,18.9184,21.4243,21.4243,2020-10-25 00:28:47.699725 +1000 +10 m=+2.560459283
1.606,19.2579,-0.0165271,19.1801,19.2233,21.9897,21.9897,2020-10-25 00:28:47.719725 +1000 +10 m=+2.580459283
1.626,19.5393,-0.0171737,19.4703,19.5186,21.9642,21.9642,2020-10-25 00:28:47.739725 +1000 +10 m=+2.600459283
1.646,19.7515,-0.0172828,19.6979,19.759,24.973,24.973,2020-10-25 00:28:47.759725 +1000 +10 m=+2.620459283
1.666,19.907,-0.016704,19.8508,19.927,25.5354,25.3893,2020-10-25 00:28:47.779725 +1000 +10 m=+2.640459283
1.686,20.0734,-0.0156377,20.01,20.0997,25.0405,24.8678,2020-10-25 00:28:47.799725 +1000 +10 m=+2.660459283
1.706,20.2588,-0.0141653,20.1888,20.2888,24.7575,24.7575,2020-10-25 00:28:47.819725 +1000 +10 m=+2.680459283
1.726,20.4637,-0.0124343,20.3885,20.4948,24.3178,24.3178,2020-10-25 00:28:47.839725 +1000 +10 m=+2.700459283
1.746,20.6872,-0.0105779,20.6086,20.7165,24.123,24.123,2020-10-25 00:28:47.859725 +1000 +10 m=+2.720459283
1.766,20.9267,-0.00875453,20.8466,20.952,23.9248,23.9248,2020-10-25 00:28:47.879725 +1000 +10 m=+2.740459283
1.786,21.1781,-0.00709981,21.0982,21.1971,23.8886,23.8886,2020-10-25 00:28:47.899725 +1000 +10 m=+2.760459283
1.806,21.4374,-0.00571816,21.3593,21.449,23.9099,23.9099,2020-10-25 00:28:47.919725 +1000 +10 m=+2.780459283
1.826,21.701,-0.00467073,21.6254,21.7046,24.0283,24.0283,2020-10-25 00:28:47.939725 +1000 +10 m=+2.800459283
1.846,21.9659,-0.00397088,21.8934,21.962,24.1915,24.1915,2020-10-25 00:28:47.959725 +1000 +10 m=+2.820459283
1.866,22.2299,-0.00359586,22.1608,22.2194,24.4029,24.4029,2020-10-25 00:28:47.979725 +1000 +10 m=+2.840459283
1.886,22.4914,-0.00349553,22.4259,22.4759,24.6383,24.6383,2020-10-25 00:28:47.999725 +1000 +10 m=+2.860459283
1.906,22.7494,-0.00359816,22.6875,22.7304,24.8925,24.8925,2020-10-25 00:28:48.019725 +1000 +10 m=+2.880459283
1.926,23.0073,-0.00396846,22.7498,22.7944,25.1443,25.1443,2020-10-25 00:28:48.039725 +1000 +10 m=+2.900459283
1.946,23.2609,-0.00470056,22.753,22.9846,25.3929,25.3929,2020-10-25 00:28:48.059725 +1000 +10 m=+2.920459283
1.966,23.5124,-0.00577727,22.753,23.0425,25.6429,25.6429,2020-10-25 00:28:48.079725 +1000 +10 m=+2.940459283
1.986,23.7552,-0.00710775,22.9645,23.4518,25.8838,25.8838,2020-10-25 00:28:48.099725 +1000 +10 m=+2.960459283
2.008,24.0117,-0.00855539,23.9414,23.9563,26.1461,26.1461,2020-10-25 00:28:48.119725 +1000 +10 m=+2.980459283
2.03,24.2645,-0.00969488,24.2234,24.2378,26.7031,26.7031,2020-10-25 00:28:48.139725 +1000 +10 m=+3.000459283
2.052,24.4265,-0.0102029,24.3913,24.4209,30.5,30.5,2020-10-25 00:28:48.159725 +1000 +10 m=+3.020459283
2.074,24.5959,-0.010106,24.553,24.5976,29.0187,28.8868,2020-10-25 00:28:48.179725 +1000 +10 m=+3.040459283
2.096,24.788,-0.00950979,24.7377,24.7947,28.752,28.7047,2020-10-25 00:28:48.199725 +1000 +10 m=+3.060459283
2.118,25.0029,-0.00851934,24.9462,25.0119,28.1255,28.1255,2020-10-25 00:28:48.219725 +1000 +10 m=+3.080459283
2.14,25.2359,-0.00731133,25.1748,25.2441,27.8351,27.8351,2020-10-25 00:28:48.239725 +1000 +10 m=+3.100459283
2.162,25.4818,-0.00607801,25.4188,25.4867,27.6904,27.6904,2020-10-25 00:28:48.259725 +1000 +10 m=+3.120459283
2.184,25.7354,-0.00498439,25.6723,25.7348,27.7289,27.7289,2020-10-25 00:28:48.279725 +1000 +10 m=+3.140459283
2.206,25.9929,-0.00413454,25.931,25.9859,27.8516,27.8516,2020-10-25 00:28:48.299725 +1000 +10 m=+3.160459283
2.228,26.2494,-0.00357278,26.19,26.2364,27.9856,27.9856,2020-10-25 00:28:48.319725 +1000 +10 m=+3.180459283
2.25,26.5034,-0.0032882,26.4465,26.4851,28.2022,28.2022,2020-10-25 00:28:48.339725 +1000 +10 m=+3.200459283
2.272,26.7563,-0.00326108,26.6623,26.7064,28.4646,28.4646,2020-10-25 00:28:48.359725 +1000 +10 m=+3.220459283
2.294,27.007,-0.00350513,26.9289,26.9591,28.7529,28.7529,2020-10-25 00:28:48.379725 +1000 +10 m=+3.240459283
2.316,27.2568,-0.00390953,27.1928,27.2139,29.0625,29.0625,2020-10-25 00:28:48.399725 +1000 +10 m=+3.260459283
2.338,27.5058,-0.00435728,27.4501,27.468,29.3833,29.3833,2020-10-25 00:28:48.419725 +1000 +10 m=+3.280459283
2.36,27.7531,-0.00476923,27.7032,27.7213,29.7482,29.7482,2020-10-25 00:28:48.439725 +1000 +10 m=+3.300459283
2.382,27.9758,-0.0050186,27.9289,27.9507,31.1821,31.1821,2020-10-25 00:28:48.459725 +1000 +10 m=+3.320459283
2.404,28.2051,-0.00506458,28.1592,28.1856,30.6385,30.6385,2020-10-25 00:28:48.479725 +1000 +10 m=+3.340459283
2.426,28.4348,-0.00495372,28.3864,28.4164,31.1214,31.1214,2020-10-25 00:28:48.499725 +1000 +10 m=+3.360459283
2.448,28.6705,-0.00469622,28.6212,28.6539,30.9725,30.9725,2020-10-25 00:28:48.519725 +1000 +10 m=+3.380459283
2.47,28.9093,-0.00437025,28.8581,28.892,31.1993,31.1993,2020-10-25 00:28:48.539725 +1000 +10 m=+3.400459283
2.492,29.1516,-0.00400055,29.0997,29.1337,31.2556,31.2556,2020-10-25 00:28:48.559725 +1000 +10 m=+3.420459283
2.514,29.3958,-0.00364638,29.3431,29.376,31.4573,31.4573,2020-10-25 00:28:48.579725 +1000 +10 m=+3.440459283
2.536,29.6413,-0.00333396,29.5885,29.6196,31.6277,31.6277,2020-10-25 00:28:48.599725 +1000 +10 m=+3.460459283
2.558,29.8867,-0.00307562,29.834,29.8629,31.8465,31.8465,2020-10-25 00:28:48.619725 +1000 +10 m=+3.480459283
2.58,30.132,-0.00293243,30.0537,30.0838,32.0575,32.0575,2020-10-25 00:28:48.639725 +1000 +10 m=+3.500459283
2.602,30.3756,-0.00291591,30.307,30.3303,32.2885,32.2885,2020-10-25 00:28:48.659725 +1000 +10 m=+3.520459283
2.624,30.6182,-0.00299963,30.5574,30.5769,32.5388,32.5388,2020-10-25 00:28:48.679725 +1000 +10 m=+3.540459283
2.646,30.86,-0.00311591,30.805,30.8225,32.8002,32.8002,2020-10-25 00:28:48.699725 +1000 +10 m=+3.560459283
2.668,31.0813,-0.00319776,31.033,31.051,33.9211,33.9211,2020-10-25 00:28:48.719725 +1000 +10 m=+3.580459283
2.69,31.3048,-0.00317694,31.2585,31.2787,33.7689,33.7689,2020-10-25 00:28:48.739725 +1000 +10 m=+3.600459283
2.712,31.3641,-0.00306562,31.3514,31.37,31.3161,31.3516,2020-10-25 00:28:48.759725 +1000 +10 m=+3.620459283
2.734,31.3563,-0.00296276,31.3483,31.3661,31.3504,31.3643,2020-10-25 00:28:48.779725 +1000 +10 m=+3.640459283
2.756,31.3495,-0.00285517,31.3415,31.3591,31.3439,31.356,2020-10-25 00:28:48.799725 +1000 +10 m=+3.660459283
2.778,31.3429,-0.00272263,31.3348,31.3525,31.3349,31.3518,2020-10-25 00:28:48.819725 +1000 +10 m=+3.680459283
2.8,31.3365,-0.00256947,31.3284,31.3461,31.3278,31.3461,2020-10-25 00:28:48.839725 +1000 +10 m=+3.700459283
2.822,31.3304,-0.00241366,31.3224,31.3397,31.3221,31.3394,2020-10-25 00:28:48.859725 +1000 +10 m=+3.720459283
2.844,31.3244,-0.00225305,31.317,31.3335,31.3167,31.3327,2020-10-25 00:28:48.879725 +1000 +10 m=+3.740459283
2.866,31.3185,-0.0021404,31.3119,31.3268,31.3116,31.326,2020-10-25 00:28:48.899725 +1000 +10 m=+3.760459283
2.888,31.3127,-0.00205843,31.3067,31.3203,31.3063,31.3197,2020-10-25 00:28:48.919725 +1000 +10 m=+3.780459283
2.91,31.3081,-0.00200333,31.3023,31.315,31.3117,31.3242,2020-10-25 00:28:48.939725 +1000 +10 m=+3.800459283
2.932,31.4724,-0.00197705,31.4409,31.4547,34.0526,34.0526,2020-10-25 00:28:48.959725 +1000 +10 m=+3.820459283
2.954,31.6714,-0.00186967,31.6336,31.6488,34.1589,34.1589,2020-10-25 00:28:48.979725 +1000 +10 m=+3.840459283
2.976,31.8799,-0.00172845,31.8397,31.8554,33.9455,33.9455,2020-10-25 00:28:48.999725 +1000 +10 m=+3.860459283
2.998,32.0935,-0.00160046,32.0512,32.0662,33.9921,33.9921,2020-10-25 00:28:49.019725 +1000 +10 m=+3.880459283
3.02,32.3091,-0.00151246,32.2663,32.2802,34.0043,34.0043,2020-10-25 00:28:49.039725 +1000 +10 m=+3.900459283
3.042,32.5224,-0.00144558,32.4801,32.4925,34.0839,34.0839,2020-10-25 00:28:49.059725 +1000 +10 m=+3.920459283
3.064,32.7331,-0.00143339,32.6915,32.7026,34.2212,34.2212,2020-10-25 00:28:49.079725 +1000 +10 m=+3.940459283
3.086,32.9413,-0.00146591,32.9007,32.9106,34.3924,34.3924,2020-10-25 00:28:49.099725 +1000 +10 m=+3.960459283
3.108,33.1473,-0.00150173,33.1006,33.1106,34.5851,34.5851,2020-10-25 00:28:49.119725 +1000 +10 m=+3.980459283
3.13,33.3511,-0.00157203,33.2979,33.3066,34.7875,34.7875,2020-10-25 00:28:49.139725 +1000 +10 m=+4.000459283
3.152,33.5527,-0.00167217,33.5051,33.5126,34.997,34.997,2020-10-25 00:28:49.159725 +1000 +10 m=+4.020459283
3.174,33.7524,-0.00177616,33.7094,33.7166,35.2107,35.2107,2020-10-25 00:28:49.179725 +1000 +10 m=+4.040459283
3.196,33.9427,-0.00184555,33.9073,33.9149,35.746,35.746,2020-10-25 00:28:49.199725 +1000 +10 m=+4.060459283
3.218,34.1337,-0.00184849,34.0963,34.1053,36.0472,36.0472,2020-10-25 00:28:49.219725 +1000 +10 m=+4.080459283
3.24,34.3268,-0.00180064,34.2901,34.3003,36.1648,36.1648,2020-10-25 00:28:49.239725 +1000 +10 m=+4.100459283
3.262,34.5197,-0.00171541,34.4834,34.4944,36.2516,36.2516,2020-10-25 00:28:49.259725 +1000 +10 m=+4.120459283
3.284,34.7118,-0.00160698,34.6757,34.6871,36.3396,36.3396,2020-10-25 00:28:49.279725 +1000 +10 m=+4.140459283
3.306,34.9025,-0.00146598,34.8666,34.878,36.4427,36.4427,2020-10-25 00:28:49.299725 +1000 +10 m=+4.160459283
3.328,35.0918,-0.00133669,35.0561,35.0669,36.5646,36.5646,2020-10-25 00:28:49.319725 +1000 +10 m=+4.180459283
3.35,35.2793,-0.00122997,35.2438,35.254,36.7024,36.7024,2020-10-25 00:28:49.339725 +1000 +10 m=+4.200459283
